Infor,Time,Elapsed
GAPIT,1459973682.40326,0
Genotype start,1459973682.48755,0.0842900276184082
Genotype loaded,1459973682.52924,0.0416898727416992
byFile,1459973682.61041,0.0811700820922852
Before Fragment,1459973682.65188,0.0414700508117676
After Fragment,1459973683.45993,0.808049917221069
END this Fragment,1459973683.55078,0.0908501148223877
Sampling genotype,1459973683.59248,0.0416998863220215
set kinship,1459973683.64735,0.0548701286315918
prepare heatmap,1459973683.69111,0.043759822845459
plot heatmap,1459973684.30889,0.617780208587646
Before SUPER,1459973684.37387,0.0649797916412354
Before PCA,1459973684.41912,0.0452501773834229
Before creating kinship,1459973684.45816,0.0390398502349854
after creating kinship,1459973684.49696,0.0388000011444092
after LD plot,1459973684.53553,0.0385701656341553
Genotype for all,1459973684.57388,0.0383498668670654
QC,1459973719.17967,34.6057901382446
SagnwichTop,1459973719.22725,0.0475800037384033
DataProcessing,1459973719.27167,0.0444200038909912
CP start,1459973719.31595,0.0442798137664795
Does this change memory0,1459973719.35954,0.0435900688171387
CP distance,1459973719.40147,0.0419299602508545
CP cluster,1459973719.46756,0.0660901069641113
CP cutree,1459973719.52725,0.059689998626709
CP calculation original,1459973719.62952,0.102269887924194
CP calculation,1459973719.68787,0.0583500862121582
PreP3D 2_cp,1459973719.73229,0.0444200038909912
PreP3D 2_bk,1459973719.784,0.0517098903656006
PreP3D 2_zc,1459973719.84933,0.0653300285339355
Prio PreP3D,1459973719.90669,0.0573599338531494
P3D Start,1459973719.95388,0.0471901893615723
eig.L,1459973720.0316,0.0777199268341064
eig.R,1459973720.12547,0.0938699245452881
REML,1459973720.23555,0.110080003738403
eig.R removed,1459973720.3321,0.0965499877929688
Trait,1459973720.41557,0.0834701061248779
REML,1459973720.51089,0.0953199863433838
eig.R removed,1459973720.61524,0.104350090026855
REMLE removed,1459973720.69618,0.0809400081634521
U Matrix,1459973720.74252,0.0463399887084961
eig.L removed,1459973720.82521,0.0826900005340576
New Genotype file,1459973720.86557,0.0403599739074707
Before cleaning,1459973720.90653,0.0409598350524902
After cleaning,1459973720.98478,0.0782501697540283
Memory allocation,1459973721.024,0.039219856262207
ReducedModel,1459973721.07136,0.0473601818084717
before Dt clean,1459973721.11865,0.0472898483276367
Dt clean,1459973721.20081,0.0821599960327148
BLUP,1459973721.2419,0.0410900115966797
PEV,1459973721.35623,0.114330053329468
K normal,1459973721.41469,0.058459997177124
K set to 1,1459973721.49357,0.0788800716400146
Screening SNPs,1459973721.5329,0.039330005645752
GWAS done for this Trait,1459973721.57482,0.0419199466705322
Post PreP3D,1459973721.61472,0.0399000644683838
CP start,1459973721.65399,0.0392699241638184
Does this change memory0,1459973721.69423,0.0402400493621826
CP distance,1459973721.73357,0.0393400192260742
CP cluster,1459973721.79573,0.0621600151062012
CP cutree,1459973721.85468,0.0589499473571777
CP calculation original,1459973721.95583,0.101150035858154
CP calculation,1459973722.01473,0.0588998794555664
PreP3D 2_cp,1459973722.05498,0.0402500629425049
PreP3D 2_bk,1459973722.10132,0.0463399887084961
PreP3D 2_zc,1459973722.16466,0.0633399486541748
GWAS,1459973731.97527,9.81061005592346
GWAS,1459973734.48779,2.51252007484436
Final,1459973734.58335,0.09555983543396
GPS,1459973734.65891,0.0755600929260254
Compression.Visualization,1459973734.72513,0.0662200450897217
Extract p3d results,1459973734.76811,0.0429799556732178
Extract GWAS start,1459973734.80762,0.0395100116729736
MAF filtered,1459973734.84824,0.0406198501586914
Multiple Correction,1459973734.88956,0.0413200855255127
QQ plot,1459973734.93508,0.0455200672149658
Manhattan plot,1459973734.99276,0.0576798915863037
Extract GWAS end,1459973735.04781,0.0550501346588135
Report,1459973735.09425,0.0464398860931396
